Coin,Date,Min,Max,Average,StandardDeviation
etc,2019-08-04,5.23,5.51,5.338494897959194,0.09872932475108884
etc,2019-08-05,5.45,5.65,5.550306122448962,0.04841264132503652
etc,2019-08-06,5.17,5.55,5.416683544303803,0.08342593839786686
etc,2019-08-07,5.17,5.36,5.252046035805622,0.03166170168911383
etc,2019-08-08,5.24,5.51,5.32904282115868,0.05531763721912751
etc,2019-08-09,5.12,5.38,5.243737113402089,0.07604056814647411
etc,2019-08-10,4.92,5.21,5.106666666666655,0.07988753757552687
etc,2019-08-11,4.99,5.24,5.11275689223058,0.0527434662251121
etc,2019-08-12,5.11,5.22,5.164962025316482,0.022393174275344953
etc,2019-08-13,5.13,5.32,5.189675810473824,0.05449514049490914
etc,2019-08-14,4.97,5.49,5.273159268929484,0.11845477356419502
etc,2019-08-15,4.78,5.17,5.019177057356596,0.06762129452794502
etc,2019-08-16,4.91,5.11,5.00040201005026,0.04027342722792973
etc,2019-08-17,4.88,5.03,4.949244332493745,0.03406074362506212
etc,2019-08-18,4.89,5.1,4.987054263565865,0.07114133874704129
etc,2019-08-19,4.9,5.1,5.020498687664031,0.040547604935362684
etc,2019-08-20,4.94,5.55,5.237323232323234,0.20480443138962018
etc,2019-08-21,5.31,5.72,5.450330788804093,0.07953517949461346
etc,2019-08-22,5.37,6.86,5.974676616915424,0.46565047842796914
etc,2019-08-23,6.13,6.77,6.478737373737376,0.15627262411455042
etc,2019-08-24,6.05,6.44,6.2260256410256245,0.0956320371111346
etc,2019-08-25,6.09,6.58,6.32181818181818,0.14525396523639603
etc,2019-08-26,6.39,6.67,6.522126582278485,0.05918889886691946
etc,2019-08-27,6.4,6.62,6.495515463917544,0.04606127998052785
etc,2019-08-28,5.66,6.52,6.185384615384638,0.2220215530522282
etc,2019-08-29,5.26,5.86,5.555331632653061,0.17022761538654946
etc,2019-08-30,5.2,5.89,5.601581632653067,0.1932682086608293
etc,2019-08-31,5.62,5.82,5.717323232323252,0.04896305106251151
etc,2019-09-01,5.59,5.79,5.661439205955323,0.043362550896056985
etc,2019-09-02,5.63,6.25,5.862244897959191,0.2104879201160598
etc,2019-09-03,6.04,6.36,6.171399491094149,0.057206609164118065
etc,2019-09-04,6.05,6.26,6.148320802005006,0.03979820455841671
etc,2019-09-05,6.06,6.51,6.290277078085638,0.10800304969817964
etc,2019-09-06,6.14,6.43,6.3059493670885765,0.05295613153061723
etc,2019-09-07,5.77,6.14,5.90007499999999,0.10164272908083599
etc,2019-09-08,5.91,6.09,6.002303797468355,0.03357227398488109
etc,2019-09-09,5.78,6.11,5.944467005076153,0.05816871294039502
etc,2019-09-10,5.83,6.11,5.964743589743589,0.059929966798314624
etc,2019-09-11,5.6,5.93,5.798211586901757,0.08335276354555168
etc,2019-09-12,5.63,5.77,5.695348101265858,0.03359577791722027
etc,2019-09-13,5.52,5.65,5.583141210374619,0.03326931761831906
etc,2019-09-14,5.5,5.66,5.560357142857135,0.04814810272397471
etc,2019-09-15,5.58,5.68,5.6253417721519074,0.02112223980976043
etc,2019-09-16,5.58,5.71,5.645496183206078,0.033113585239548
etc,2019-09-17,5.59,5.8,5.669487179487205,0.055333428388025976
etc,2019-09-18,5.69,5.88,5.80074812967579,0.03974907458567119
etc,2019-09-19,5.39,5.82,5.5514646464646455,0.11753304397868451
etc,2019-09-20,5.51,5.66,5.578341708542687,0.04030990275847247
etc,2019-09-21,5.49,5.62,5.552753246753238,0.03127928481103668
etc,2019-09-22,5.4,5.6,5.465790816326565,0.04601893041430274
etc,2019-09-23,5.31,5.49,5.424486486486506,0.030427247410051612
etc,2019-09-24,3.91,5.34,5.187621951219504,0.23255175874147688
etc,2019-09-25,4.04,4.49,4.2895264623955445,0.10649413781461481
etc,2019-09-26,4.09,4.5,4.318407960199007,0.07469641866589652
etc,2019-09-27,4.11,4.32,4.222319587628887,0.04358048517960575
etc,2019-09-28,4.21,4.34,4.284813664596271,0.027439307383319827
etc,2019-09-29,4.08,4.28,4.190778816199384,0.0647618521598306
etc,2019-09-30,4.04,4.37,4.200965909090898,0.09508476467959193
etc,2019-10-01,4.19,4.41,4.302441558441556,0.05460852259884267
etc,2019-10-02,4.17,4.26,4.20944289693596,0.02194501735232401
etc,2019-10-03,4.12,4.28,4.205906735751331,0.04574463479645155
etc,2019-10-04,4.09,4.25,4.180389972144857,0.0386306488472729
etc,2019-10-05,4.14,4.23,4.1856467661691745,0.015346887865436776
etc,2019-10-06,4.06,4.22,4.157903225806452,0.035754709296904434
etc,2019-10-07,4.05,4.3,4.162091836734694,0.07444839148420673
etc,2019-10-08,4.17,4.31,4.226750629722945,0.03459402229716438
etc,2019-10-09,4.19,4.71,4.315089514066513,0.17341884801418467
etc,2019-10-10,4.43,4.64,4.5411643835616475,0.05642925348856982
etc,2019-10-11,4.22,4.49,4.330909090909088,0.07074411006772756
etc,2019-10-12,4.2,4.3,4.256363636363627,0.02068056939286689
etc,2019-10-13,4.25,4.35,4.292335025380679,0.026170651241814884
etc,2019-10-14,4.28,4.37,4.331403061224464,0.022707563938403907
etc,2019-10-15,4.08,4.36,4.225770234986929,0.08192124761727927
etc,2019-10-16,3.91,4.25,4.0814720812183,0.11504298681123686
etc,2019-10-17,3.95,4.11,4.022569974554688,0.0377181298224349
etc,2019-10-18,3.92,4.06,3.9897179487179693,0.0381316536643369
etc,2019-10-19,3.92,3.99,3.9560731707317327,0.014648549822343373
etc,2019-10-20,3.92,4.08,3.9675250000000006,0.04160678280040457
etc,2019-10-21,3.97,4.16,4.0491687657430475,0.037350059353917324
etc,2019-10-22,4.06,4.16,4.110897755610944,0.023373621979465492
etc,2019-10-23,3.69,4.08,3.8895024875621678,0.09796309206404029
etc,2019-10-24,3.77,3.92,3.8357389162561604,0.04324658149089075
etc,2019-10-25,3.81,4.5,3.99115591397849,0.1920307642033126
etc,2019-10-26,4.06,4.6,4.214241645244214,0.106942808218618
etc,2019-10-27,4.09,4.41,4.224887780548606,0.09557830216998664
etc,2019-10-28,4.28,4.5,4.343316195372729,0.04929899616682737
etc,2019-10-29,4.27,4.62,4.438625000000023,0.07195386977084627
etc,2019-10-30,4.26,4.47,4.361760204081614,0.06426756607292484
etc,2019-10-31,4.2,4.43,4.32030848329047,0.03508209182914135
etc,2019-11-01,4.28,4.44,4.344122137404551,0.03154713495193664
etc,2019-11-02,4.33,4.47,4.386335877862624,0.03947891066226841
etc,2019-11-03,4.33,4.47,4.399151670951139,0.03507685470908776
etc,2019-11-04,4.35,4.5,4.414352331606232,0.034979197478237856
etc,2019-11-05,4.38,4.58,4.4830073349633155,0.054629245550578624
etc,2019-11-06,4.51,4.66,4.563617021276577,0.042502842553993544
etc,2019-11-07,4.56,4.77,4.635343347639503,0.05262620360173843
etc,2019-11-08,4.36,4.78,4.617290322580662,0.11183499564283911
etc,2019-11-09,4.47,4.58,4.520680851063821,0.027029618414176972
etc,2019-11-10,4.47,4.6,4.535690376569016,0.03942903629567263
etc,2019-11-11,4.38,4.6,4.481744680851087,0.06138073302429803
etc,2019-11-12,4.37,4.48,4.439535864978938,0.018332252957927616
etc,2019-11-13,4.39,4.47,4.425421940928307,0.02058047966079318
etc,2019-11-14,4.26,4.41,4.330320512820497,0.05233137190259063
etc,2019-11-15,4.11,4.36,4.230634249471436,0.08152108023409942
