,City,State,Country,Update,Latitude,Longitude,Confirmed,Deaths,Recovered
165,,,Mainland China,2020-02-08 11:33:02,,,195.0,1.0,30.0
166,,,Mainland China,2020-02-08 10:13:06,,,195.0,0.0,20.0
167,,,Mainland China,2020-02-08 00:23:03,,,183.0,0.0,17.0
168,,,Mainland China,2020-02-08 08:43:02,,,138.0,0.0,17.0
169,,,Mainland China,2020-02-08 10:23:04,,,124.0,2.0,14.0
170,,,Mainland China,2020-02-08 23:53:02,,,115.0,0.0,21.0
171,,,Mainland China,2020-02-08 11:53:01,,,105.0,0.0,8.0
172,,,Mainland China,2020-02-08 06:43:03,,,89.0,1.0,7.0
173,,,Mainland China,2020-02-08 08:23:04,,,88.0,1.0,4.0
174,,,Mainland China,2020-02-08 15:13:14,,,79.0,1.0,12.0
175,,,Mainland China,2020-02-08 00:13:04,,,69.0,1.0,4.0
176,,,Others,2020-02-07 16:33:03,,,61.0,0.0,0.0
177,,,Mainland China,2020-02-08 03:33:02,,,52.0,0.0,5.0
178,,,Mainland China,2020-02-08 09:13:16,,,45.0,0.0,15.0
179,,,Mainland China,2020-02-08 03:23:10,,,42.0,0.0,0.0
180,,,Singapore,2020-02-08 12:53:01,,,33.0,0.0,2.0
181,,,Thailand,2020-02-08 12:53:01,,,32.0,0.0,10.0
182,,,Hong Kong,2020-02-08 00:03:07,,,26.0,1.0,0.0
183,,,Japan,2020-02-07 04:13:20,,,25.0,0.0,1.0
184,,,South Korea,2020-02-07 03:03:03,,,24.0,0.0,1.0
185,,,Mainland China,2020-02-06 02:13:15,,,18.0,0.0,3.0
186,,,Taiwan,2020-02-08 05:23:02,,,17.0,0.0,1.0
187,,,Malaysia,2020-02-08 10:23:04,,,16.0,0.0,1.0
188,,,Germany,2020-02-07 16:33:03,,,13.0,0.0,0.0
189,,,Vietnam,2020-02-08 07:23:04,,,13.0,0.0,1.0
190,,,France,2020-02-08 09:53:01,,,11.0,0.0,0.0
191,,,Macau,2020-02-06 14:23:04,,,10.0,0.0,1.0
192,,,United Arab Emirates,2020-02-08 07:03:16,,,7.0,0.0,0.0
193,,,Australia,2020-02-07 01:03:02,,,5.0,0.0,0.0
194,,,Australia,2020-02-06 03:13:22,,,4.0,0.0,2.0
